id,score,quality,advantage,disadvantage,suggestion,remark,created_at,updated_at,user_id,task_id
127,7,,,,,,2018-08-19 08:02:52.105161,2018-08-19 08:02:52.105161,216,44
121,15,3,สรุปได้ละเอียดดีมาก,เขียนตัวบรรจง,,,2018-08-19 07:50:33.557561,2018-08-19 08:03:10.411201,240,47
130,8,,,,,,2018-08-19 08:03:52.576991,2018-08-19 08:03:52.576991,223,68
133,10,,,,,,2018-08-19 08:04:28.569608,2018-08-19 08:07:01.495867,235,61
28,"",,,,,,2018-05-25 04:59:18.082052,2018-08-19 15:39:44.713896,13,11
126,10,3,มีการแสดงบทบาทสมมติที่มเหุสามผล,,,,2018-08-19 08:02:37.684629,2018-08-19 08:13:45.969612,251,53
129,8,3,เรียบร้อยดี,,,,2018-08-19 08:03:45.138117,2018-08-19 08:13:43.873921,244,63
123,3,,,,,,2018-08-19 07:59:40.12656,2018-08-19 08:17:34.060287,260,82
134,10,4,เรียบร้อยดีมาก,,,,2018-08-19 08:04:39.089716,2018-08-19 08:14:33.712555,230,50
135,10,4,,,,,2018-08-19 08:04:44.981776,2018-08-19 08:05:29.189064,221,39
141,8,7-8,ออกแบบได้ดีมาก,,,,2018-08-19 08:06:34.253441,2018-08-19 08:06:38.526272,238,73
209,18,,,,,,2019-09-06 07:23:00.262394,2019-09-06 07:26:19.345286,328,167
140,4,3,ลายมือสวยมาก,กลับไปแก้ไขให้ถูกต้อง,,,2018-08-19 08:06:33.874102,2018-08-19 08:13:59.939544,241,62
239,10,,,,,,2019-09-06 07:28:46.125685,2019-09-06 07:28:46.125685,332,135
137,5,5,,,,นักเรียนทำงานเรียบร้อยดีมากค่ะ,2018-08-19 08:05:19.761694,2018-08-19 08:15:58.659827,224,43
240,8,,,,,,2019-09-06 07:28:48.585809,2019-09-06 07:28:48.585809,332,141
232,8,3,ดีมาก,สีไม่สม่ำเสมอ,ควรระบายสีให้สม่ำเสมอ,,2019-09-06 07:26:09.390285,2019-09-06 07:46:16.869949,336,154
139,10,4,ดีมาก,แก้ไขลายมือ,"",,2018-08-19 08:06:22.467738,2018-08-19 08:14:38.122597,239,85
247,9,4,แยกประเภทได้ถูกต้อง,ให้ใบงานมีความสะอาด,,,2019-09-06 07:29:50.511418,2019-09-06 07:31:06.656574,352,161
243,19,4,ทำให้ครบทุกข้อ,,,เก่งจังเลย,2019-09-06 07:29:34.14936,2019-09-06 07:34:50.896741,350,189
245,9,4,,,,ทำไดดีแล้ว,2019-09-06 07:29:43.497123,2019-09-06 07:36:51.059673,350,196
230,8,,,,,,2019-09-06 07:25:54.929318,2019-09-06 07:38:07.394871,324,139
136,5,,,,,,2018-08-19 08:04:54.240906,2018-08-19 08:06:30.114734,218,84
233,14,,,,,,2019-09-06 07:26:32.685992,2019-09-06 07:26:32.685992,331,181
145,8,3,สะอาดเรียบร้อย,ไม่แสดงวิธีทำ,ควรเปิดตัวอย่างดู,,2018-08-19 08:07:01.660847,2018-08-19 08:14:00.170301,247,55
142,9,4,เรียบร้อย ดีมาก,แบ่งวรรคไม่ถูก,เขียนลายมือให้สวยกว่านี้,,2018-08-19 08:06:42.975156,2018-08-19 08:15:32.248852,246,58
235,15,4,ส่วนใหญ่ตอบถูกทุกๆ ข้อ,,พยายามอ่านหนังสือให้มากๆ,,2019-09-06 07:26:48.016938,2019-09-06 07:26:58.009452,338,188
218,30,4,มีการบันทึกคำพูดของนักเรียนจากการสังเกตการเจริญของเห็ด  ครบถ้วน,,,มีความมุ่งมั่นตั้งใจดีมาก ,2019-09-06 07:23:33.798285,2019-09-06 07:27:30.515027,327,195
234,8,4,เขียนแผนภาพได้สวยงาม,,,ทำงานได้สวยงาม,2019-09-06 07:26:39.462607,2019-09-06 07:27:34.927934,350,163
237,22,,,,,,2019-09-06 07:27:51.741023,2019-09-06 07:27:51.741023,336,186
241,10,,,,,,2019-09-06 07:28:51.350803,2019-09-06 07:28:51.350803,332,166
242,8,,,,,,2019-09-06 07:29:05.038574,2019-09-06 07:30:05.651052,351,128
244,8,4,มีรายละเอียดครบถ้วน,ลายมือยังไม่สวย,,,2019-09-06 07:29:42.659536,2019-09-06 07:30:28.170903,352,129
250,15,,,,,,2019-09-06 07:32:30.871878,2019-09-06 07:32:30.871878,349,172
249,9,,,,,,2019-09-06 07:31:25.579246,2019-09-06 07:34:10.233247,349,159
231,7,3,ออกแบบได้สร้างสรรค์,ลายมือยังไม่สวย,พัฒนาลายมือให้สวยขึ้น,,2019-09-06 07:25:57.877327,2019-09-06 07:53:13.760102,331,127
144,8,,,,,,2018-08-19 08:06:50.976523,2018-08-19 08:06:50.976523,268,59
147,8,,,,,,2018-08-19 08:07:07.009439,2018-08-19 08:07:07.009439,261,75
148,9,,,,,,2018-08-19 08:07:20.54615,2018-08-19 08:07:20.54615,245,67
149,9,,,,,,2018-08-19 08:07:24.346719,2018-08-19 08:07:24.346719,237,77
154,8,3,,,,,2018-08-19 08:08:04.938327,2018-08-19 08:08:07.650177,234,86
156,4,,,,,,2018-08-19 08:09:05.36242,2018-08-19 08:09:05.36242,233,87
157,4,,,,,,2018-08-19 08:09:13.217492,2018-08-19 08:09:13.217492,266,87
164,8,,,,,,2018-08-19 08:15:52.849679,2018-08-19 08:15:52.849679,229,93
163,21,,,,,,2018-08-19 08:14:08.285847,2018-08-19 08:16:04.673478,216,92
165,34,,,,,,2018-08-19 08:16:56.421827,2018-08-19 08:16:56.421827,229,94
146,8,4,สะอาดเรียบร้ิอย,,,,2018-08-19 08:07:01.884974,2018-08-19 08:13:25.722263,253,70
166,5,,,,,,2018-09-27 04:31:40.818764,2018-09-27 04:31:40.818764,13,34
167,6,,,,,,2018-09-27 04:31:43.050148,2018-09-27 04:31:43.050148,11,34
168,9,,,,,,2018-09-27 04:31:44.73082,2018-09-27 04:31:44.73082,15,34
169,9,,,,,,2018-09-27 04:31:46.261936,2018-09-27 04:31:46.261936,14,34
170,6,,,,,,2018-09-27 04:31:47.690427,2018-09-27 04:31:47.690427,18,34
155,8,3,งานเรียบร้อยดีมาก,ไม่มีการย่อหน้า,ควรระมัดระวังการพิมพ์งาน,,2018-08-19 08:08:22.729597,2018-08-19 08:13:35.171482,249,76
124,4,2,ทำถุกต้องตามตุดประสงค์ที่กำหนด,,ออกแบบในรูปแบบการ์ดวันแม่,,2018-08-19 08:00:05.172883,2018-08-19 08:13:37.654489,228,65
171,7,,,,,,2018-09-27 04:31:48.876259,2018-09-27 04:31:48.876259,12,34
138,8,4,ความชัดเจนในการออกแบบ,,สามารถไปบรูณาการกับวิชาอื่นๆได้,,2018-08-19 08:05:59.780316,2018-08-19 08:13:42.120059,260,81
132,18,4,,,,,2018-08-19 08:04:25.162833,2018-08-19 08:13:43.406634,235,37
151,8,3,งานเรียบร้อยดี,,,,2018-08-19 08:07:41.304592,2018-08-19 08:13:44.963682,250,54
160,12,,,,,,2018-08-19 08:13:57.277862,2018-08-19 08:13:57.277862,216,88
161,14,,,,,,2018-08-19 08:14:00.81358,2018-08-19 08:14:00.81358,216,89
162,11,,,,,,2018-08-19 08:14:04.458996,2018-08-19 08:14:04.458996,216,91
172,8,,,,,,2018-09-27 04:31:49.851235,2018-09-27 04:31:49.851235,16,34
150,8,3,เรียบร้อยดีมาก,,,,2018-08-19 08:07:25.320047,2018-08-19 08:14:12.074284,258,60
173,10,6-8,กำหนดองค์ประกอบของ map ได้อย่างเป็นระบบ,ลายมือไม่สวย,ฝึกการเขียนให้ลายมือสวยงามขึ้น,,2019-09-03 00:07:40.137458,2019-09-03 00:54:40.630468,286,112
158,10,4,งานเรียบร้อยดี,,เขียนลายมือให้สวยๆ,,2018-08-19 08:10:01.884317,2018-08-19 08:14:37.267448,231,46
175,20,,,,,,2019-09-03 00:53:38.595452,2019-09-03 00:54:48.01837,286,113
152,8,3,ทำงานเรียบร้อย,ส่งงานไม่ตรงเวลา,ควรวางแผนการทำงาน,,2018-08-19 08:07:41.856952,2018-08-19 08:14:40.71138,264,80
131,8,3,สามารถใช้สูตรคำนวณหาคำตอบได้,,,ใส่หน่วยไม่ถูกต้อง,2018-08-19 08:04:19.825408,2018-08-19 08:14:46.995531,252,57
188,7,,,,,,2019-09-06 07:22:35.194438,2019-09-06 07:22:35.194438,334,140
176,11,,,,,,2019-09-03 00:53:42.798169,2019-09-03 00:56:47.470354,287,113
180,5,2,ออกแบบได้สวยงาม,องค์ประกอบของแผนภาพยังไม่ครบ,พัฒนาลายมือให้สวยขึ้นและเขียนให้เป็นระเบียบ,ตั้งใจเรียนนะคะ,2019-09-06 07:21:08.387565,2019-09-06 07:39:45.565359,323,115
143,9,4,เรียบร้อยดีมาก,เขียนสะกดคำไม่ถุกต้อง,ฝึกอ่านหนังสือเพื่อให้มีคลังศัพท์มากขึ้น,,2018-08-19 08:06:45.690058,2018-08-19 08:15:14.273717,220,56
159,8,4,เรียบร้อยดีมาก,เว้นวรรคไม่ถูกหลายจุด,เขียนลายมือให้สวยกว่านี้,,2018-08-19 08:12:20.999303,2018-08-19 08:15:15.878782,242,48
153,8,3,เรียบร้อยสะอาด,สะกดคำผิด,เขียนให้สวย,,2018-08-19 08:07:43.019202,2018-08-19 08:15:18.402588,255,66
178,10,,,,,,2019-09-06 07:20:16.155472,2019-09-06 07:20:16.155472,325,138
179,20,,,,,,2019-09-06 07:20:23.30102,2019-09-06 07:20:23.30102,325,160
174,4,4-5,ตกแต่งสวยงาม,เก็บรายละเอียดจากเรื่องที่อ่านไม่ค่อยได้,ใช้ดินสอร่างโครงสร้างของ map ก่อน แล้วค่อยลงรายละเอียด,,2019-09-03 00:30:50.912566,2019-09-03 00:31:10.555472,287,112
182,14,,,,,,2019-09-06 07:21:26.530825,2019-09-06 07:21:26.530825,323,175
199,15,4,ตอบถูกทุกข้อถูก,,ควรอ่านหนังสือให้มากขึ้น,,2019-09-06 07:22:44.526866,2019-09-06 07:46:18.070559,347,178
189,7,,,,,,2019-09-06 07:22:38.774549,2019-09-06 07:22:38.774549,339,151
200,8,,,,,,2019-09-06 07:22:44.939113,2019-09-06 07:22:44.939113,337,152
201,8,,,,,,2019-09-06 07:22:45.03649,2019-09-06 07:22:45.03649,328,144
190,15,,,,,,2019-09-06 07:22:39.035771,2019-09-06 07:22:39.035771,334,177
191,7,,,,,,2019-09-06 07:22:40.153511,2019-09-06 07:22:40.153511,343,149
192,8,,,,,,2019-09-06 07:22:40.429657,2019-09-06 07:22:40.429657,344,153
195,16,,,,,,2019-09-06 07:22:42.685063,2019-09-06 07:22:42.685063,337,187
196,5,,,,,,2019-09-06 07:22:43.402763,2019-09-06 07:22:43.402763,331,147
197,9,,,,,,2019-09-06 07:22:43.513299,2019-09-06 07:22:43.513299,335,145
198,8,,,,,,2019-09-06 07:22:43.663892,2019-09-06 07:22:43.663892,330,157
203,15,,,,,,2019-09-06 07:22:51.541293,2019-09-06 07:22:51.541293,343,174
204,8,,,,,,2019-09-06 07:22:52.513621,2019-09-06 07:22:52.513621,342,142
205,15,,,,,,2019-09-06 07:22:53.29783,2019-09-06 07:22:53.29783,339,179
206,8,,,,,,2019-09-06 07:22:54.97024,2019-09-06 07:22:54.97024,326,150
208,8,,,,,,2019-09-06 07:22:58.103586,2019-09-06 07:22:58.103586,341,148
211,17,,,,,,2019-09-06 07:23:07.810475,2019-09-06 07:23:07.810475,335,185
212,10,3,มีการบันทึกคำพูดเกี่ยวกับเหตุผลที่อยากเรียนรู้  ลงในชิ้นงานให้เข้าใจได้,,,-,2019-09-06 07:23:08.441596,2019-09-06 07:25:20.757789,327,117
229,40,,,,,,2019-09-06 07:25:32.906777,2019-09-06 07:26:16.140763,328,126
236,8,4,สวยงาม น่าสนใจ,ลายมือให้สวยงาม,แผนภาพให้มีความสมบูรณ์ และเขียนลายมือให้สวยงามยิ่งขึ้น,,2019-09-06 07:27:33.822317,2019-09-06 07:27:42.78104,338,194
238,10,4,ทำถูกทุกข้อ,,สอบแก้ตัว,,2019-09-06 07:28:26.437488,2019-09-06 07:28:46.779063,340,193
248,18,,,,,,2019-09-06 07:29:56.187966,2019-09-06 07:29:56.187966,352,192
246,5,,,,,,2019-09-06 07:29:45.316174,2019-09-06 07:30:07.862677,351,165
214,16,,,,,,2019-09-06 07:23:16.382142,2019-09-06 07:23:16.382142,326,182
184,8,,,,,,2019-09-06 07:22:06.534342,2019-09-06 07:23:25.76337,347,143
213,8,4,ชิ้นงานมีความสมบูรณ์,ลายมือยังไม่สวย,พัฒนาลายมือให้สวยขึ้นและเขียนให้เป็นระเบียบ,แค่ตั้งใจก็สำเร็จแล้ว,2019-09-06 07:23:13.108013,2019-09-06 07:24:49.981758,333,125
226,8,3,ออกแบบได้สร้างสรรค์,องค์ประกอบของแผนภาพยังไม่ครบ,ควรใส่องค์ประกอบของแผนภาพให้ครบถ้วน,,2019-09-06 07:24:44.07535,2019-09-06 07:39:46.358268,339,121
251,8,3,ทำงานได้ดีมาก,ลายมือให้สวยงามกว่านี้,ควรเพิ่มสีสันของงาน,,2019-09-06 07:41:08.384598,2019-09-06 07:41:54.573471,324,120
252,15,,,,,,2019-09-06 07:42:18.351574,2019-09-06 07:42:18.351574,324,168
215,5,,,,,,2019-09-06 07:23:16.670764,2019-09-06 07:23:16.670764,333,155
217,17,,,,,,2019-09-06 07:23:28.174077,2019-09-06 07:23:28.174077,330,171
216,8,3,ชิ้นงานมีความสวยงาม  ,ควรเพิ่มความละเอียดให้มากขึ้น,,ตั้งใจทำงานนะคะ  เป็นกำลังใจให้ค่ะ,2019-09-06 07:23:25.477811,2019-09-06 07:26:16.414051,327,183
219,15,,,,,,2019-09-06 07:23:44.60971,2019-09-06 07:23:44.60971,344,180
220,7,,,,,,2019-09-06 07:23:44.737588,2019-09-06 07:23:44.737588,341,169
221,4,,,,,,2019-09-06 07:23:48.637112,2019-09-06 07:23:48.637112,333,173
223,9,4,ออกแบบได้สวยาม,ลายมือยังไม่สวย,พัฒนาลายมือให้สวยงามขึ้น,,2019-09-06 07:23:57.805088,2019-09-06 07:34:04.624167,349,132
222,10,4,ออกแบบได้สวยงาม,,,,2019-09-06 07:23:52.74995,2019-09-06 07:24:01.966158,332,162
194,8,4,ออกแบบได้สวยงาม,ลายมือยังไม่สวย,พัฒนาลายมือให้สวยขึ้นและเขียนให้เป็นระเบียบ,,2019-09-06 07:22:41.383604,2019-09-06 07:24:15.557948,335,136
210,8,3,ออกแบบได้สวยงาม,องค์ประกอบของแผนภาพยังไม่ครบ,ใส่องค์ประกอบของแผนภาพให้ครบ,,2019-09-06 07:23:05.050492,2019-09-06 07:24:15.982065,337,118
185,8,4,ออกแบบได้สวยงาม,ลายมือยังไม่สวย,พัฒนาลายมือให้สวยขึ้น และเขียนให้เป็นระเบียบ,พยายามนะครับ,2019-09-06 07:22:27.416321,2019-09-06 07:24:30.869942,334,123
177,10,4,ออกแบบได้สวยงาม,ลายมือยังไม่สวย,,พยายามนะคะ เป็นกำลังใจให้ค่ะ,2019-09-06 07:20:13.201154,2019-09-06 07:24:35.298106,325,119
225,8,8,ชิ้นงานสะอาดเรียบร้อย,,,,2019-09-06 07:24:34.669416,2019-09-06 07:25:04.818107,326,124
224,3,3,สำรวจได้ชนิดของพืชที่หลากหลายกว่าเกณฑ์ที่กำหนด,เขียนสะกดคำชื่อพืชไม่ถูกถูก,ฝึกเขียนสะกดคำซ้ำๆ,สู้ ๆ นะค่ะ ฝึกเขียนฝึกอ่านบ่อยๆ,2019-09-06 07:24:32.549728,2019-09-06 07:25:24.58608,340,184
181,8,4,วาดรูปได้สวยงาม,เนื้อหาไม่สมบูรณ์,ควรเพิ่มเนื้อหาไห้มีความสมบูรณ์มากกว่านี้,ตั้งใจทำงานนะคะ,2019-09-06 07:21:11.313105,2019-09-06 07:24:33.746497,323,146
183,8,3,มีรายละเอียดครบถ้วน,ลายมือยังไม่สวย,พัฒนาลายมือให้สวยขึ้นและเขียนให้เป็นระเบียบ,พยายามนะคะ,2019-09-06 07:22:04.835408,2019-09-06 07:25:29.969932,347,133
